Vm (mV),Current (pA),Concentration (uM)
-84,0.510182722051641,100
-64,0.709206656205265,100
-44,0.837327122666049,100
-24,0.827754153537144,100
16,1.07462145289919,100
36,0.925909342128644,100
56,0.958312212972022,100
76,0.965998623804807,100
96,0.947549681445183,100
-164,0.404356740541282,100
-144,0.394324235698133,100
-124,0.385736275427924,100
-104,0.434601998565088,100
-84,0.51674349682108,100
-64,0.685957644478226,100
-44,0.829536355484235,100
-24,0.871988487101588,100
16,0.847975471495079,100
36,0.918304343279264,100
56,0.921172812933581,100
76,0.922005025783027,100
96,0.905877298836484,100
-164,0.242066031880259,300
-144,0.225509142000685,300
-124,0.225801829364963,300
-104,0.245792401952612,300
-84,0.324817581075698,300
-64,0.557332574503469,300
-44,0.73852672797821,300
-24,0.892066529354988,300
16,1.02174834505041,300
36,1.01022122900646,300
56,1.00610062819193,300
76,1.03446229326851,300
96,1.01985287971222,300
-164,0.174546456388582,300
-144,0.168272720487382,300
-124,0.15462781615542,300
-104,0.180955198229357,300
-84,0.250827673624391,300
-64,0.392277851766264,300
-44,0.584192333262646,300
-24,0.67414572395876,300
16,0.786231797267152,300
36,0.781531557819225,300
56,0.888876668524168,300
76,0.87277722497814,300
96,0.944378995419633,300
-164,0.212518704302405,300
-144,0.196666764918379,300
-124,0.203004839678537,300
-104,0.228120075209955,300
-84,0.303893193981115,300
-64,0.501407021734504,300
-44,0.697383265782875,300
-24,0.775397778167907,300
16,0.937079904972176,300
36,0.903207795012081,300
56,0.92210008445305,300
76,0.915813464081098,300
96,0.918670058330329,300
-164,0.221087093272348,300
-144,0.211560534204863,300
-124,0.21885645570481,300
-104,0.246740374517688,300
-84,0.322753772810762,300
-64,0.521309771899526,300
-44,0.701428249109081,300
-24,0.845702570834129,300
16,0.800767169142345,300
36,0.890862528824927,300
56,0.935723800786423,300
76,0.925385080904926,300
96,0.922721000336391,300
-164,0.100485976318599,1000
-144,0.10537780681754,1000
-124,0.11023327693093,1000
-104,0.146446410968407,1000
-84,0.202544199975969,1000
-64,0.363726394157786,1000
-44,0.565078887963185,1000
-24,0.678800494070258,1000
16,0.761322909316937,1000
36,0.823778844608569,1000
56,0.848857383990264,1000
76,0.838468190282267,1000
-164,0.0485170184402868,1000
-144,0.0584290188113858,1000
-124,0.0710553983879961,1000
-104,0.0677566772350621,1000
-84,0.101336622307348,1000
-64,0.206309753160321,1000
-44,0.319417012130141,1000
-24,0.69173374440566,1000
16,1.06147012841284,1000
36,0.891524952588648,1000
56,1.12892626769664,1000
76,1.0719078024144,1000
96,0.948198399695162,1000
-164,0.0944004277228284,1000
-144,0.0906897331968625,1000
-124,0.100837200046857,1000
